Created at,Id,Nom,Description,Stock,Poids,Catégorie,Prix en cents d'€,Nb de ventes - ca
2018-07-16 07:34:04 UTC,98,saladier,saladier,1,5500,PIÈCE  D'EXCEPTION,15000,"0 - 0,00 €"
2018-07-10 20:45:49 UTC,97,TONDO 15,"TABLEAU ROND

 Calligraphie libre réalisée au pinceau 
 Email blanc mat satiné.
 Faïence blanche.

 PIECE UNIQUE


 Diamètre 9,2 cm       Épaisseur 3 cm 


Très facile à accrocher.
 Le dos du tableau est brut , sans émail.",1,500,Tableau,3500,"0 - 0,00 €"
2018-07-10 20:44:15 UTC,96,TONDO 14,"TABLEAU ROND

 Calligraphie libre réalisée au pinceau 
 Email blanc mat satiné.
 Faïence blanche.

 PIECE UNIQUE


 Diamètre 9,2 cm       Épaisseur 3 cm 


Très facile à accrocher.
 Le dos du tableau est brut , sans émail.",1,500,Tableau,3500,"0 - 0,00 €"
2018-07-10 20:42:10 UTC,95,TONDO 13,"TABLEAU ROND

 Calligraphie libre réalisée au pinceau 
 Email blanc mat satiné.
 Faïence blanche.

 PIECE UNIQUE


 Diamètre 9,2 cm       Épaisseur 3 cm 


Très facile à accrocher.
 Le dos du tableau est brut , sans émail.",1,500,Tableau,3000,"0 - 0,00 €"
2018-07-10 20:39:38 UTC,94,TONDO 12,"TABLEAU ROND

 Calligraphie libre réalisée au pinceau 
 Email blanc mat satiné.
 Faïence blanche.

 PIECE UNIQUE


 Diamètre 8,8 cm       Épaisseur 2,8 cm 


Très facile à accrocher.
 Le dos du tableau est brut , sans émail.",1,500,Tableau,3000,"0 - 0,00 €"
2018-07-10 20:37:26 UTC,93,TONDO 11,"TABLEAU ROND

 Calligraphie libre réalisée au pinceau 
 Email blanc mat satiné.
 Faïence blanche.

 PIECE UNIQUE


 Diamètre 10 cm       Épaisseur 2,9 cm 


Très facile à accrocher.
 Le dos du tableau est brut , sans émail.",1,500,Tableau,3500,"0 - 0,00 €"
2018-07-10 20:34:58 UTC,92,TONDO 10,"TABLEAU ROND

 Calligraphie libre réalisée au pinceau 
 Email blanc mat satiné.
 Faïence blanche.

 PIECE UNIQUE


 Diamètre 9 cm       Épaisseur 2,7 cm 


Très facile à accrocher.
 Le dos du tableau est brut , sans émail.",1,500,Tableau,3000,"0 - 0,00 €"
2018-07-10 20:32:15 UTC,91,TONDO 9,"TABLEAU ROND

 Calligraphie libre réalisée au pinceau 
 Email blanc mat satiné.
 Faïence blanche.

 PIECE UNIQUE


 Diamètre 9,4 cm       Épaisseur 3 cm 


Très facile à accrocher.
 Le dos du tableau est brut , sans émail.",1,500,Tableau,3500,"0 - 0,00 €"
2018-07-10 20:30:24 UTC,90,TONDO 8,"TABLEAU ROND

 Calligraphie libre réalisée au pinceau 
 Email blanc mat satiné.
 Faïence blanche.

 PIECE UNIQUE


 Diamètre 9 cm       Épaisseur 3,5 cm 


Très facile à accrocher.
 Le dos du tableau est brut , sans émail.",1,500,Tableau,3500,"0 - 0,00 €"
2018-07-10 20:28:10 UTC,89,TONDO 7,"TABLEAU ROND

 Calligraphie libre réalisée au pinceau 
 Email blanc mat satiné.
 Faïence blanche.

 PIECE UNIQUE


 Diamètre 9,5 cm       Épaisseur 2,7 cm 


Très facile à accrocher.
 Le dos du tableau est brut , sans émail.",1,500,Tableau,3000,"0 - 0,00 €"
